 <html><body><pre>
Metabolite_name	RefMet_name	ABX_62	ABX_63	ABX_64	ABX_65	ABX_87	ABX_88	ABX_89	ABX_90	ABX_104	ABX_105	ABX_106	ABX_107	ABX_108	ABX_119	ABX_121	ABX_109	ABX_110	ABX_111	ABX_112	ABX_113	ABX_114	ABX_115	ABX_116	ABX_72	ABX_73	ABX_74	ABX_75	ABX_76	ABX_77	ABX_84	ABX_86	CV_101	CV_102	CV_16	CV_17	CV_18	CV_19	CV_20	CV_122	CV_123	CV_66	CV_67	CV_68	CV_69	CV_70	CV_71	CV_117	CV_118	CV_78	CV_79	CV_80	CV_81	CV_82	CV_83	CV_10	CV_11	CV_12	CV_13	CV_6	CV_7	CV_8	CV_9	GF_32	GF_36	GF_41	GF_42	GF_43	GF_45	GF_47	GF_48	GF_91	GF_92	GF_93	GF_94	GF_95	GF_96	GF_97	GF_98	GF_53	GF_54	GF_55	GF_56	GF_57	GF_59	GF_60	GF_61	GF_24	GF_25	GF_26	GF_27	GF_28	GF_49	GF_51	GF_52
Factors	-	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:ABX | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:CV | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT11	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT17	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT23	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT5	Sample source:Hippocampus | Treatment:GF | Zeitgeber_time:ZT5
1-Methyl Adenosine	1-Methyladenosine	3012420	2968448	2903435	3068587	3260243	2518544	2221611	2665706	3035494	3102315	2914683	2277373	2513722	3003254	2875159	2783984	2665824	2997053	2813469	3169381	2612209	3332368	2185665	2528247	2601562	3564465	3146032	2928988	3327754	2599984	2236652	2823747	2707242	3176747	2956214	2838655	3704398	2368760	2632597	2678453	3194533	2904898	2584609	3143667	2919515	3016771	2410900	3214454	2648506	2948703	2892780	3259494	2986096	2781504	3549603	3427296	3435648	3060545	2391741	2406071	3211715	3537641	3211560	2600796	2760773	2311562	3205807	3483270	2514160	2929541	3445948	2735784	3145588	2901191	2934845	3059667	2313400	3434799	2931076	3492614	2960553	2520178	2804338	3292944	3583893	2522507	3584322	2543729	2997255	2727615	2613172	3354362	2995827	3175951
2-Oxoglutaric acid	2-Oxoglutaric acid	31630	55513	9389	46558	85443	139590	47704	96877	91063	43385	40319	80841	32477	76962	35604	60868	39896	50461	64979	69179	17925	44812	56758	72505	36748	40554	19895	13015	26389	63050	82515	35124	9047	33967	45602	42231	50874	121597	68243	56296	37093	20224	14010	27639	24411	36427	86124	21170	40744	9974	73443	44712	100559	75752	42458	99072	41542	18821	19754	3996	50481	34701	8628	16564	3670	3167	11105	10287	6729	8272	22891	3661	60101	1858	21574	623	44754	9907	20700	29855	8822	15912	26228	37982	31748	206	21366	70561	28321	49849	12557	13502	11309	19391
3-Methylhistidine	3-Methylhistidine	1053020	932342	1083327	961178	1033778	1103769	1393944	916056	346035	283547	427992	331596	396284	372483	392802	329340	263443	274438	381591	462474	331940	373722	387508	787452	690067	735502	743772	591942	600309	734712	529335	1121076	1127292	1128597	2114074	1393016	1426552	1503558	664237	592696	590805	425396	474910	502276	438642	412592	454760	412103	312285	458721	495686	371147	318204	354175	789074	649134	698588	714069	1042241	960990	1052498	990941	927680	1251833	902221	1317382	1120735	1361229	1182541	1220375	598495	631710	686170	359560	434491	575085	629496	530190	512137	533392	361171	478698	528679	535046	473155	607538	672019	592207	1348440	965000	597460	550766	536942	565864
4-Guanidinobutyric acid	4-Guanidinobutanoic acid	3646723	3425795	3132739	3396112	5249595	3970427	3841372	3250113	4161521	3508322	4916456	2847474	3392239	4040498	3601973	3559010	3450774	3933321	3705263	4705433	3096737	3802701	3662887	3550424	3178415	4431831	3559976	3505523	3596849	2980275	2701228	8641379	5525280	3622258	5555725	4738511	4248248	3583967	3288829	2985092	3974962	15619	2923162	3349449	3184497	3221925	3140453	4080931	2965894	3199406	3721692	3757368	3530684	3505091	4434196	4254328	4888792	3809861	3092625	5435178	5605063	4580185	4115807	6045462	4732286	2679300	3683764	3570135	2928137	3291372	4556445	4398108	5552264	3127445	3340954	6807685	4811221	4236764	4279920	5262036	4409030	3280002	3780609	4238742	7151994	4346290	4424856	3260186	6913827	4202656	3072272	4817017	4291994	4751754
4-Hydroxybenzaldehyde	4-Hydroxybenzaldehyde	2546677	3157585	2563304	3231698	2827167	3801155	3556111	2486171	3133512	2380476	3517452	2685507	2423866	3278786	2706260	2692833	2385122	2559021	3331710	4226515	2322051	2439507	3801395	2840927	2083327	2794263	2851873	2643273	2712236	2721779	2298497	6267729	4986714	3074952	5237467	4382033	3211791	4835491	3094593	2543592	2716159	2073756	2219203	2721117	2606178	2714934	4034805	2446812	2534684	2180443	2516902	2776605	2463803	2174478	3438115	3903274	2996752	3390379	2454427	4795313	4798728	3005201	3350862	4769548	4656839	2666454	2468853	2365144	2472264	2636088	1951297	4192343	3688866	2225047	2935689	5751596	4311885	2810804	2687849	2766915	3035725	2768897	2933974	3907543	4278580	2977666	2605525	3345274	6916660	3985200	2538936	3903805	2321578	3469398
7-Methylguanine	7-Methylguanine	164437	157535	155535	160813	180721	113097	106050	124680	156776	148354	135038	114922	139211	159190	153297	143287	147922	176106	142619	166369	118727	185528	112584	156820	135274	198109	168440	168963	184777	139257	113260	198632	173221	152889	220875	162394	203330	112126	142080	135732	161634	111377	131595	146250	156702	133746	105239	164724	126846	147976	137084	155829	141744	161538	182291	179623	189838	153699	126666	156105	219183	164457	134350	152211	136204	101567	178722	144227	124639	156975	194411	136005	184104	144579	155851	186522	150931	169484	148394	202220	152088	134361	166747	153767	195191	114912	189276	132939	211773	151603	150453	177274	172776	160228
Acetylcarnitine	CAR 2:0	44563585	30856359	27014912	38735723	30043428	26957981	8778562	12832288	35354751	21513404	14141774	13440930	17470313	51847192	25441910	26078325	19071574	29768867	15263267	19825095	22127786	31081936	14435171	44700648	26023930	47083713	22050010	23331553	18036093	58967396	24349696	76293893	95071826	69054077	36267844	73799486	65854700	140097959	24924155	23799806	146369497	70938397	73131006	45417070	56635105	41991793	95206869	96175375	56171032	41835495	39147064	34978136	27274823	54230549	48841315	29571199	53343305	74532956	56060640	79241240	55525709	96854710	19393423	64923379	28833885	30374682	22822394	59832525	56401787	31685421	55879111	27805181	34928496	39479123	32367499	21574253	18143652	60774005	145194720	132649559	115630574	106017461	140183122	97689250	226369991	157861097	55437503	39022693	58295851	94110334	90980977	110198846	97537842	133184769
Acetylcholine	Acetylcholine	89010	112791	113623	90814	73607	862217	1626671	1775868	78302	150422	1361488	1155650	83177	53664	336017	91427	94096	84951	1250481	1427236	258436	135348	1086657	26693	42135	350835	478328	98327	42429	1360291	2855777	706211	979293	47867	1033023	767507	77247	28374	1788876	1088846	170039	63547	34588	55041	27696	71873	26975	59095	41913	50866	3094074	919343	23152	40369	38836	56268	143519	41877	539703	845685	1443844	70048	418625	2249272	2608619	25697	33374	30776	26663	32716	62516	3262405	3215476	36726	30245	2315917	2231011	48608	90304	43696	50187	58648	47809	302850	327679	202724	26426	566649	1907645	1952941	33876	32303	32892	53807
Acetylhistidine		219896	63268	347383	59165	86056	65542	54716	56677	76689	55449	321656	50217	38028	97810	44567	43083	57003	56204	75143	51898	35744	58245	58257	771554	51986	71652	58533	153296	76726	113504	38746	72500	190952	47871	102219	64284	56755	46142	36048	70560	69591	1184898	67080	69139	60566	57018	53163	49094	52924	57452	76248	60327	62504	1302651	69208	51371	83929	45753	32094	59646	66827	49238	62049	81586	64368	42365	68113	48378	47706	69409	67003	65049	64014	43399	47693	76309	60337	40755	52657	137399	72567	45100	55338	79614	69156	60256	52110	88684	77817	53039	42784	52765	54651	50032
